"","Estimate","Lower","Upper","analysis","modelForm","stepDist","turnDist","availablePerStep","branches","species","indi","tf","td","sigColour"
"ssfOUT_7_0.5_1_VULTURE.10",0.991012898147673,0.231812142324614,1.75021365397073,"ssf","mf.is","gamma","unif",500,"ssfOUT_7_0.5_1_VULTURE","VULTURE",1,2,7,"preference"
"ssfOUT_7_0.5_1_VULTURE.11",0.873030591677406,0.0673591876375624,1.67870199571725,"ssf","mf.is","exp","vonmises",5,"ssfOUT_7_0.5_1_VULTURE","VULTURE",1,2,7,"preference"
"ssfOUT_7_0.5_1_VULTURE.12",0.876519741237486,0.102347943168132,1.65069153930684,"ssf","mf.is","exp","vonmises",15,"ssfOUT_7_0.5_1_VULTURE","VULTURE",1,2,7,"preference"
"ssfOUT_7_0.5_1_VULTURE.13",0.836275715889307,0.0629184091605709,1.60963302261804,"ssf","mf.is","exp","vonmises",50,"ssfOUT_7_0.5_1_VULTURE","VULTURE",1,2,7,"preference"
"ssfOUT_7_0.5_1_VULTURE.14",1.00491914033349,0.243215921287156,1.76662235937983,"ssf","mf.is","exp","vonmises",158,"ssfOUT_7_0.5_1_VULTURE","VULTURE",1,2,7,"preference"
"ssfOUT_7_0.5_1_VULTURE.15",0.971862049932361,0.213469985239477,1.73025411462525,"ssf","mf.is","exp","vonmises",500,"ssfOUT_7_0.5_1_VULTURE","VULTURE",1,2,7,"preference"
"ssfOUT_7_0.5_1_VULTURE.16",0.558563931358453,-0.373149735443834,1.49027759816074,"ssf","mf.is","exp","unif",5,"ssfOUT_7_0.5_1_VULTURE","VULTURE",1,2,7,"no effect"
"ssfOUT_7_0.5_1_VULTURE.17",0.75331215579249,-0.0137319547755106,1.52035626636049,"ssf","mf.is","exp","unif",15,"ssfOUT_7_0.5_1_VULTURE","VULTURE",1,2,7,"no effect"
"ssfOUT_7_0.5_1_VULTURE.18",0.978675161849355,0.212551771345832,1.74479855235288,"ssf","mf.is","exp","unif",50,"ssfOUT_7_0.5_1_VULTURE","VULTURE",1,2,7,"preference"
"ssfOUT_7_0.5_1_VULTURE.19",1.03806401178045,0.276823479125548,1.79930454443536,"ssf","mf.is","exp","unif",158,"ssfOUT_7_0.5_1_VULTURE","VULTURE",1,2,7,"preference"
"ssfOUT_7_0.5_1_VULTURE.20",0.956950336071992,0.197819770342698,1.71608090180129,"ssf","mf.is","exp","unif",500,"ssfOUT_7_0.5_1_VULTURE","VULTURE",1,2,7,"preference"
